Pratique	tag	work	inputs	prod	poll	techni
ElevageBovinViandeHorsSol	130	3	4	5	3	4
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	0	0	0	0	0
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	0	0	0	0	0
EteNormal	6	0	0	0	0	0
EteDouxSec	7	0	0	0	0	0
EteDouxHumide	8	0	0	0	0	0
EteFroidSec	9	0	0	0	0	0
EteFroidHumide	10	0	0	0	0	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
ElevageBovinViandeSemiPaturage	120	3	2	4	2	3
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	0	0	0	0	0
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	0	0	0	0	0
EteNormal	6	0	0	0	0	0
EteDouxSec	7	1	1	0	0	0
EteDouxHumide	8	0	0	0	0	0
EteFroidSec	9	1	1	0	0	0
EteFroidHumide	10	0	0	0	0	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
ElevageBovinViandePaturage	110	3	1	2	0	2
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	0	0	0	0
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	0	0	0	0
EteNormal	6	0	0	0	0	0
EteDouxSec	7	1	1	0	0	0
EteDouxHumide	8	0	0	0	0	0
EteFroidSec	9	1	1	0	0	0
EteFroidHumide	10	1	1	0	0	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
PolycultureConventionnelle	230	3	3	5	3	3
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	1	0	1	0
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	1	0	1	0
EteNormal	6	0	0	0	0	0
EteDouxSec	7	0	0	-1	0	0
EteDouxHumide	8	0	0	-1	1	0
EteFroidSec	9	0	0	-1	0	0
EteFroidHumide	10	0	0	-1	1	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
PolycultureConventionnelleIrriguee	231	3	3	5	3	3
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	1	0	1	1
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	1	0	1	1
EteNormal	6	0	0	0	0	0
EteDouxSec	7	1	0	0	1	1
EteDouxHumide	8	0	0	-1	1	0
EteFroidSec	9	1	0	0	1	1
EteFroidHumide	10	0	0	-1	1	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
PolycultureRaisonnee	220	4	2	4	2	4
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	1	0	1	0
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	1	0	1	0
EteNormal	6	0	0	0	0	0
EteDouxSec	7	0	0	-1	0	0
EteDouxHumide	8	0	0	-1	1	0
EteFroidSec	9	0	0	-1	0	0
EteFroidHumide	10	0	0	-1	1	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
PolycultureRaisonneeIrriguee	221	4	2	4	2	4
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	1	0	1	1
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	1	0	1	1
EteNormal	6	0	0	0	0	0
EteDouxSec	7	1	0	0	1	1
EteDouxHumide	8	0	0	-1	1	0
EteFroidSec	9	1	0	0	1	1
EteFroidHumide	10	0	0	-1	1	0
Maladies	11	0	0	-1	0	0
MarcheLocal	12	0	0	1	0	0
PolycultureBio	200	5	1	3	1	5
HiverNormal	1	0	0	0	0	0
HiverDouxSec	2	0	0	0	0	0
HiverDouxHumide	3	1	1	0	1	1
HiverFroidSec	4	0	0	0	0	0
HiverFroidHumide	5	1	1	0	1	1
EteNormal	6	0	0	0	0	0
EteDouxSec	7	0	0	-1	0	0
EteDouxHumide	8	0	0	-1	1	0
EteFroidSec	9	0	0	-1	0	0
EteFroidHumide	10	0	0	-1	1	0
Maladies	11	0	0	-1	0	0
