Id   player   cellPlayer   practice   infra   yield   watpol   soilpol
1   1   11   201   0   0   0   0
2   1   12   201   0   0   0   0
3   0   0   0   0   0   0   0
4   1   15   201   0   0   0   0
5   0   0   0   0   0   0   0
6   0   0   0   0   0   0   0
7   1   13   201   0   0   0   0
8   1   16   201   0   0   0   0
9   1   14   201   0   0   0   0
10   2   21   201   0   0   0   0
11   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0
14   0   0   0   0   0   0   0
15   3   32   201   0   0   0   0
16   0   0   0   0   0   0   0
17   3   33   201   0   0   0   0
18   1   17   201   0   0   0   0
19   3   34   201   0   0   0   0
20   3   31   201   0   0   0   0
21   5   51   201   0   0   0   0
22   0   0   0   0   0   0   0
23   2   24   201   0   0   0   0
24   2   25   201   0   0   0   0
25   2   22   201   0   0   0   0
26   0   0   0   0   0   0   0
27   2   23   201   0   0   0   0
28   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0
31   2   26   201   0   0   0   0
32   3   37   201   0   0   0   0
33   3   35   201   0   0   0   0
34   0   0   0   0   0   0   0
35   3   36   201   0   0   0   0
36   5   52   201   0   0   0   0
37   5   53   201   0   0   0   0
38   5   54   201   0   0   0   0
39   5   55   201   0   0   0   0
40   0   0   0   0   0   0   0
41   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0
44   4   41   201   0   0   0   0
45   0   0   0   0   0   0   0
46   4   42   201   0   0   0   0
47   4   43   201   0   0   0   0
48   0   0   0   0   0   0   0
49   0   0   0   0   0   0   0
50   4   44   201   0   0   0   0
51   0   0   0   0   0   0   0
52   4   45   201   0   0   0   0
53   6   62   201   0   0   0   0
54   4   46   201   0   0   0   0
55   6   63   201   0   0   0   0
56   6   61   201   0   0   0   0
57   7   72   201   0   0   0   0
58   0   0   0   0   0   0   0
59   7   73   201   0   0   0   0
60   5   56   201   0   0   0   0
61   7   74   201   0   0   0   0
62   7   71   201   0   0   0   0
63   6   65   201   0   0   0   0
64   6   64   201   0   0   0   0
65   0   0   0   0   0   0   0
66   0   0   0   0   0   0   0
67   8   81   201   0   0   0   0
68   6   66   201   0   0   0   0
69   8   82   201   0   0   0   0
70   6   67   201   0   0   0   0
71   7   77   201   0   0   0   0
72   7   75   201   0   0   0   0
73   9   91   201   0   0   0   0
74   7   76   201   0   0   0   0
75   8   84   201   0   0   0   0
76   8   85   201   0   0   0   0
77   8   83   201   0   0   0   0
78   0   0   0   0   0   0   0
79   0   0   0   0   0   0   0
80   9   93   201   0   0   0   0
81   0   0   0   0   0   0   0
82   9   94   201   0   0   0   0
83   9   92   201   0   0   0   0
84   9   95   201   0   0   0   0
85   0   0   0   0   0   0   0
86   8   86   201   0   0   0   0
87   8   87   201   0   0   0   0
88   9   96   201   0   0   0   0
89   9   97   201   0   0   0   0
