year   round   winter   summer   pest   marketdev
1   0   1   6   0   0
2   0   1   6   0   0
3   0   1   6   0   0
4   1   1   6   0   0
5   1   1   6   0   0
6   1   1   6   0   0
7   2   1   6   0   0
8   2   1   6   0   0
9   2   1   6   0   0
10   3   1   6   0   0
11   3   1   6   0   0
12   3   1   6   0   0
13   4   1   6   0   0
14   4   1   6   0   0
15   4   1   6   0   0
16   5   1   6   0   0
17   5   1   6   0   0
18   5   1   6   0   0
19   6   1   6   0   0
20   6   1   6   0   0
21   6   1   6   0   0
