 	 Year	     Round      winter      summer       Pest        Meat       Cereals     Fruits    MarkGarden. Vegetables     Milk        Wine
           1           1           4           6           0           0           0           0           0          -1           0           0
           2           1           4           8           0           1          -1           0          -1           0           0          -1
           3           2           4           8           0           1           0           0           0           0           1          -1
           4           2           1           6           0           0          -1           0           0           0           1          -1
           5           2           4           6           0           1          -1           0           0           0           0           0
           6           3           4           7           1           0           0           0           0           0          -1           0
           7           3           4           6           0           0          -1           0           0           0           0           0
           8           3           4           6           0           1           0           0           0          -1           0           1
           9           4           4           6           0          -1           1           0           0           0           0           0
          10           4           4           6           0           0           0           0           0           1           0           0
          11           4           4           8           0          -1           0           1           0           1           0           0
          12           5           1           6           0           0          -1           1           0           0           0           1
          13           5           4           6           0           0           0           1           0           0          -1           1
          14           5           4           6           0           0           0          -1           0          -1          -1           0
          15           6           1           6           0          -1           0          -1           1           0          -1          -1
          16           6           1           7           1           0           1           0           0           0          -1          -1
          17           6           5           7           0          -1           1           0           0           0           0           0
          18           7           4           8           0          -1           0          -1           1           0           0           0
          19           7           4           6           0           0           0           0           0           0           0           0
          20           7           4           8           0          -1           0           1           1           0           1           0
          21           8           4           6           0           0           0           1           1           0           1           0
