Pratique   tag   work   inputs   prod   poll   techni
ElevageBovinViandeHorsSol   101   3   4   5   3   4
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   0   0   0   0   0
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   0   0   0   0   0
EteNormal   6   0   0   0   0   0
EteDouxSec   7   0   0   0   0   0
EteDouxHumide   8   0   0   0   0   0
EteFroidSec   9   0   0   0   0   0
EteFroidHumide   10   0   0   0   0   0
Maladies   11   0   0   -1   0   0
ElevageBovinViandeSemiPaturage   102   3   2   4   2   3
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   0   0   0   0   0
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   0   0   0   0   0
EteNormal   6   0   0   0   0   0
EteDouxSec   7   1   1   0   0   0
EteDouxHumide   8   0   0   0   0   0
EteFroidSec   9   1   1   0   0   0
EteFroidHumide   10   0   0   0   0   0
Maladies   11   0   0   -1   0   0
ElevageBovinViandePaturage   103   3   1   2   0   2
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   0   0   0   0
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   0   0   0   0
EteNormal   6   0   0   0   0   0
EteDouxSec   7   1   1   0   0   0
EteDouxHumide   8   0   0   0   0   0
EteFroidSec   9   1   1   0   0   0
EteFroidHumide   10   1   1   0   0   0
Maladies   11   0   0   -1   0   0
PolycultureConventionnelle   201   3   3   5   3   3
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   1   0   1   0
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   1   0   1   0
EteNormal   6   0   0   0   0   0
EteDouxSec   7   0   0   -1   0   0
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   0   0   -1   0   0
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
PolycultureConventionnelleIrriguee   202   3   3   5   3   3
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   1   0   1   1
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   1   0   1   1
EteNormal   6   0   0   0   0   0
EteDouxSec   7   1   0   0   1   1
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   1   0   0   1   1
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
PolycultureRaisonnee   203   4   2   4   2   4
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   1   0   1   0
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   1   0   1   0
EteNormal   6   0   0   0   0   0
EteDouxSec   7   0   0   -1   0   0
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   0   0   -1   0   0
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
PolycultureRaisonneeIrriguee   204   4   2   4   2   4
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   1   0   1   1
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   1   0   1   1
EteNormal   6   0   0   0   0   0
EteDouxSec   7   1   0   0   1   1
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   1   0   0   1   1
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
PolycultureBio   205   5   1   3   1   5
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   0   0   0   0   0
HiverDouxHumide   3   1   1   0   1   1
HiverFroidSec   4   0   0   0   0   0
HiverFroidHumide   5   1   1   0   1   1
EteNormal   6   0   0   0   0   0
EteDouxSec   7   0   0   -1   0   0
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   0   0   -1   0   0
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
PolycultureBioIrri   206   5   1   3   1   5
HiverNormal   1   0   0   0   0   0
HiverDouxSec   2   1   1   0   1   1
HiverDouxHumide   3   0   0   0   0   0
HiverFroidSec   4   1   1   0   1   1
HiverFroidHumide   5   1   1   0   1   1
EteNormal   6   0   0   0   0   0
EteDouxSec   7   1   0   0   1   1
EteDouxHumide   8   0   0   -1   1   0
EteFroidSec   9   1   0   0   1   1
EteFroidHumide   10   0   0   -1   1   0
Maladies   11   0   0   -1   0   0
